"emp_no","first_name","last_name","title","from_date","to_date"
97923,"Haldon","Lienhardt","Senior Engineer","1992-08-15","9999-01-01"
97948,"Henk","Geffroy","Senior Staff","1985-09-03","9999-01-01"
98017,"Sachio","Gils","Senior Staff","1991-05-21","9999-01-01"
98018,"Yongdong","Pileggi","Staff","1995-03-08","9999-01-01"
98047,"Gill","Nitsche","Senior Staff","1997-07-13","9999-01-01"
98063,"Danco","Rusterholz","Engineer","1997-05-25","9999-01-01"
98128,"Kazuhisa","Ambroszkiewicz","Staff","1994-01-11","9999-01-01"
98183,"Masami","Besselaar","Senior Staff","1997-09-09","9999-01-01"
98192,"Sumali","Murtagh","Senior Engineer","1993-02-10","9999-01-01"
98253,"Pragnesh","Homond","Senior Engineer","1998-06-21","9999-01-01"
98307,"Douadi","Leijenhorst","Senior Staff","1996-04-27","9999-01-01"
98335,"Shao","Vuskovic","Senior Engineer","1995-09-12","9999-01-01"
98363,"Arunachalam","Lorie","Senior Staff","1996-01-16","9999-01-01"
98424,"Constantijn","Braunschweig","Senior Engineer","1997-05-26","9999-01-01"
98445,"Spyrose","Constantine","Senior Engineer","2002-07-27","9999-01-01"
98500,"Sarita","Bennet","Senior Staff","1994-09-05","9999-01-01"
98506,"Oddvar","Gyorkos","Senior Staff","2000-10-23","9999-01-01"
98533,"Tsvetan","Detkin","Senior Engineer","1990-04-19","9999-01-01"
98594,"Eldridge","Kruskal","Engineer","2000-01-25","9999-01-01"
98619,"Sham","Debuse","Senior Engineer","1996-09-02","9999-01-01"
98663,"Serenella","Segond","Senior Staff","1995-10-21","9999-01-01"
98683,"Charmane","Lodder","Senior Engineer","2000-11-20","9999-01-01"
98713,"Stabislas","Luit","Senior Staff","1986-02-23","9999-01-01"
98745,"Zhanqiu","Kitsuregawa","Senior Engineer","1985-10-24","9999-01-01"
98750,"Shooichi","Braccini","Senior Engineer","1994-12-30","9999-01-01"
98793,"Stevo","Merey","Staff","1996-05-20","9999-01-01"
98823,"Tesuya","Hartvigsen","Senior Staff","1997-08-06","9999-01-01"
98832,"Margo","Akiyama","Senior Staff","1991-02-10","9999-01-01"
98861,"George","Bellmore","Senior Staff","1991-06-20","9999-01-01"
98905,"Nikolaos","Negoita","Senior Engineer","1985-09-13","9999-01-01"
98973,"Aemilian","Quittner","Senior Engineer","1991-01-05","9999-01-01"
98992,"Gonzalo","Heping","Senior Engineer","1994-08-16","9999-01-01"
98996,"Parke","Kalloufi","Staff","1998-06-25","9999-01-01"
99064,"Marin","Trogemann","Senior Staff","2000-09-28","9999-01-01"
99210,"Irene","Morrin","Senior Engineer","1991-05-19","9999-01-01"
99274,"Taizo","Schurmann","Senior Engineer","1985-06-14","9999-01-01"
99297,"Xinan","Erman","Senior Engineer","2001-06-26","9999-01-01"
99307,"Moto","Thibadeau","Senior Staff","1995-08-23","9999-01-01"
99340,"Masaru","Selvestrel","Senior Staff","1987-06-15","9999-01-01"
99376,"Olivera","Blokdijk","Senior Engineer","1988-02-15","9999-01-01"
99390,"Cristinel","Potthoff","Senior Engineer","2000-03-17","9999-01-01"
99431,"Prodip","Kusalik","Senior Staff","1990-09-02","9999-01-01"
99442,"Sibyl","Uhrig","Senior Staff","1996-07-11","9999-01-01"
99492,"Rosine","Gajiwala","Senior Staff","1998-07-24","9999-01-01"
99520,"Eran","Copas","Senior Engineer","2000-02-02","9999-01-01"
99527,"Feipei","Duclos","Engineer","1994-08-12","9999-01-01"
99606,"Kamran","Flowers","Senior Staff","1993-12-30","9999-01-01"
99622,"Etsuo","Taneja","Senior Engineer","1992-05-18","9999-01-01"
99655,"Elvis","Borovoy","Senior Engineer","2001-04-03","9999-01-01"
99671,"Tsuneo","Leppanen","Senior Staff","1985-06-10","9999-01-01"
99688,"Christophe","Noriega","Senior Staff","1993-03-01","9999-01-01"
99705,"Souichi","Bahr","Senior Staff","1993-09-27","9999-01-01"
99794,"Kristin","Garnick","Senior Engineer","1995-03-15","9999-01-01"
99880,"Herbert","Conti","Senior Staff","1996-08-19","9999-01-01"
99890,"Aemilian","Decleir","Senior Staff","1994-11-18","9999-01-01"
99927,"Bernardo","Luck","Senior Engineer","1994-03-11","9999-01-01"
99966,"Masali","Ferretti","Staff","1997-09-26","9999-01-01"
100013,"Gunilla","Bernardinello","Senior Engineer","1992-04-09","9999-01-01"
100022,"Iara","Lindenbaum","Senior Staff","1990-02-04","9999-01-01"
100042,"Raimond","Turnbull","Staff","2000-01-11","9999-01-01"
100115,"Siddarth","Servieres","Senior Staff","1992-10-20","9999-01-01"
100118,"Sajjad","Goldhammer","Technique Leader","1999-10-28","9999-01-01"
100180,"Ohad","Lichtner","Senior Engineer","1995-06-16","9999-01-01"
100277,"Ravishankar","Baby","Senior Engineer","1996-08-16","9999-01-01"
100322,"Janalee","Bahr","Senior Staff","1985-03-21","9999-01-01"
100359,"Vishwani","Speer","Senior Engineer","1987-03-27","9999-01-01"
100382,"Mariangiola","Wynblatt","Senior Engineer","1997-05-25","9999-01-01"
100384,"Richara","Yurek","Senior Engineer","1995-06-03","9999-01-01"
100413,"Mara","Schurmann","Senior Engineer","1999-06-10","9999-01-01"
100419,"Jaana","Leivant","Senior Staff","1997-01-09","9999-01-01"
100444,"Arno","Itzigehl","Senior Staff","1985-05-15","9999-01-01"
100452,"Guther","Lowrie","Senior Engineer","2001-07-17","9999-01-01"
100497,"Tze","Fortenbacher","Senior Engineer","1993-04-06","9999-01-01"
100531,"Toshiko","Kranzdorf","Senior Engineer","1999-02-06","9999-01-01"
100534,"Aamer","Luga","Staff","1996-04-08","9999-01-01"
100569,"Sreekrishna","Anandan","Senior Engineer","1991-10-25","9999-01-01"
100574,"Lucien","Bennet","Senior Staff","2002-02-14","9999-01-01"
100609,"Gina","Lakshmanan","Senior Engineer","1999-09-26","9999-01-01"
100653,"Georgi","Maraist","Senior Engineer","1997-10-27","9999-01-01"
100656,"Persi","Teitelbaum","Engineer","1996-11-10","9999-01-01"
100680,"Xiping","Duclos","Senior Staff","1996-03-28","9999-01-01"
100721,"Poornachandra","Bade","Senior Engineer","2000-09-15","9999-01-01"
100748,"Uriel","Marakhovsky","Senior Staff","1986-12-10","9999-01-01"
100753,"Zsolt","Baca","Senior Engineer","1993-09-13","9999-01-01"
100769,"Willard","Clemencon","Senior Engineer","1990-04-29","9999-01-01"
100842,"Dante","Brobst","Senior Engineer","1993-01-01","9999-01-01"
100880,"Chikara","Thibadeau","Senior Staff","1994-01-11","9999-01-01"
100933,"Uli","Taneja","Senior Staff","1993-03-27","9999-01-01"
100934,"Goncalo","Czaja","Engineer","1997-01-15","9999-01-01"
100965,"Lucian","Bultermann","Senior Staff","1995-05-04","9999-01-01"
101000,"Vishv","Marrevee","Senior Staff","1995-07-14","9999-01-01"
101015,"Spyrose","Rahier","Senior Staff","1999-04-27","9999-01-01"
101018,"Shigeu","Serra","Senior Engineer","1993-06-16","9999-01-01"
101033,"Zhiwei","Clemencon","Senior Staff","1985-02-13","9999-01-01"
101034,"Elgin","Tyugu","Senior Engineer","1991-04-14","9999-01-01"
101067,"Kerhong","Schmittgen","Assistant Engineer","1998-10-12","9999-01-01"
101078,"Fusako","Zedlitz","Senior Engineer","1985-02-05","9999-01-01"
101096,"Make","Zaccaria","Senior Engineer","1995-07-04","9999-01-01"
101193,"Fen","Rabejac","Senior Engineer","1993-11-06","9999-01-01"
101270,"Tsutomu","Nitto","Senior Staff","2000-08-22","9999-01-01"
101294,"Sakthirel","Speel","Senior Engineer","1994-03-31","9999-01-01"
101385,"Maia","Vickson","Technique Leader","1999-06-27","9999-01-01"
101412,"Nathan","Baaleh","Senior Staff","1988-06-10","9999-01-01"
101501,"Rosalie","Vecchi","Technique Leader","1985-12-26","9999-01-01"
101537,"Luigi","Cyre","Senior Engineer","1985-09-28","9999-01-01"
101558,"Wojceich","Tischendorf","Senior Engineer","1985-02-24","9999-01-01"
101608,"Girolamo","Mundy","Senior Staff","1998-08-31","9999-01-01"
101637,"Subir","Azuma","Staff","1995-03-30","9999-01-01"
101638,"Gaurav","Conta","Engineer","1996-07-07","9999-01-01"
101657,"Krisda","Herath","Senior Staff","2000-07-13","9999-01-01"
101719,"Nadjib","Wolniewicz","Senior Engineer","1993-06-03","9999-01-01"
101787,"Shunichi","Muhling","Senior Engineer","1993-07-28","9999-01-01"
101845,"Giordano","Pouyioutas","Senior Staff","2002-07-19","9999-01-01"
101848,"Jouko","Kolinko","Senior Staff","1997-06-19","9999-01-01"
101869,"Zhanqiu","Siprelle","Senior Staff","1995-12-26","9999-01-01"
101878,"Tetsushi","Stroustrup","Senior Staff","1998-01-16","9999-01-01"
101887,"Zhonghua","McAlpine","Senior Engineer","1995-09-05","9999-01-01"
101949,"Foong","Pettis","Senior Engineer","1993-05-12","9999-01-01"
102028,"Yunming","Thiran","Senior Engineer","1988-10-27","9999-01-01"
102257,"Stella","Tsukune","Senior Engineer","1991-07-28","9999-01-01"
102286,"Cedric","Chachaty","Senior Staff","1993-06-08","9999-01-01"
102292,"Fumiyo","Peltason","Technique Leader","1987-10-28","9999-01-01"
102298,"Tianruo","Selenyi","Engineer","2000-01-26","9999-01-01"
102336,"Frazer","Schlenzig","Senior Engineer","1991-06-14","9999-01-01"
102372,"Maik","Jahnichen","Senior Engineer","1990-01-12","9999-01-01"
102552,"Danai","Delgrande","Senior Staff","1997-11-06","9999-01-01"
102597,"Waiman","Vidal","Senior Engineer","1997-02-06","9999-01-01"
102627,"Bedrich","Businaro","Senior Engineer","2001-07-03","9999-01-01"
102737,"Fabrizio","Mitina","Senior Engineer","1992-07-25","9999-01-01"
102738,"Ramya","Tchuente","Senior Staff","1995-04-13","9999-01-01"
102766,"Guiseppe","Dechter","Engineer","1996-05-06","9999-01-01"
102815,"Shunichi","Scallan","Senior Staff","1999-08-11","9999-01-01"
102912,"Teiji","Khalil","Senior Staff","1993-11-18","9999-01-01"
102941,"Luigi","Erni","Senior Engineer","1993-01-06","9999-01-01"
103024,"Patricio","Jakobus","Senior Engineer","1998-10-22","9999-01-01"
103130,"Kiyokazu","Sundgren","Senior Engineer","2001-02-21","9999-01-01"
103219,"Guenter","Muchinsky","Senior Engineer","1993-10-22","9999-01-01"
103224,"Zeljko","Seghrouchni","Senior Engineer","1987-03-27","9999-01-01"
103235,"Kazuhito","Acton","Senior Engineer","1994-02-01","9999-01-01"
103259,"Remzi","Brattka","Senior Staff","1998-06-16","9999-01-01"
103338,"Munir","Wilharm","Senior Staff","1993-02-24","9999-01-01"
103349,"Chiranjit","Saoudi","Senior Engineer","2000-11-23","9999-01-01"
103358,"Takushi","Legleitner","Senior Staff","1992-01-28","9999-01-01"
103398,"Nikolaos","Schreiter","Staff","1999-08-13","9999-01-01"
103415,"Heng","Cronin","Senior Staff","1998-12-22","9999-01-01"
103419,"Marjo","Pettit","Senior Engineer","1994-07-05","9999-01-01"
103426,"Shigeaki","Koshiba","Senior Engineer","1993-12-29","9999-01-01"
103467,"Kwangyoen","Glinert","Senior Staff","1998-01-11","9999-01-01"
103538,"Mountaz","Ushiama","Senior Engineer","1987-06-11","9999-01-01"
103566,"Fumino","Pouyioutas","Senior Engineer","1993-04-14","9999-01-01"
103568,"Peternela","Camarinopoulos","Technique Leader","1990-12-12","9999-01-01"
103569,"Rayond","Rodier","Senior Engineer","1993-02-26","9999-01-01"
103573,"Mani","Erman","Senior Staff","1994-12-03","9999-01-01"
103586,"Kwee","Veevers","Engineer","1995-04-07","9999-01-01"
103591,"Moni","Vakili","Senior Staff","1991-03-11","9999-01-01"
103595,"Zhensheng","Hutton","Senior Staff","1995-09-22","9999-01-01"
103640,"Valeska","Yetto","Senior Staff","2000-08-31","9999-01-01"
103641,"Aamer","Loncour","Engineer","1996-03-19","9999-01-01"
103681,"Toney","Rosiles","Senior Staff","1994-05-30","9999-01-01"
103753,"Faiza","Fortenbacher","Senior Staff","2000-07-27","9999-01-01"
103772,"Vidar","Pollacia","Senior Staff","1994-10-25","9999-01-01"
103835,"Masasuke","Cyre","Senior Engineer","1993-05-23","9999-01-01"
103865,"Eishiro","Pews","Senior Engineer","1995-05-13","9999-01-01"
103876,"Mohammad","Suppi","Senior Engineer","1997-08-02","9999-01-01"
103918,"Seshu","Jenevein","Technique Leader","1987-07-15","9999-01-01"
103951,"Eben","Luders","Senior Engineer","1987-10-20","9999-01-01"
103988,"Mary","Griswold","Senior Staff","1994-01-23","9999-01-01"
104021,"Yonghoan","Mondadori","Senior Engineer","1986-11-25","9999-01-01"
104029,"Alper","Pagter","Staff","1998-05-30","9999-01-01"
104092,"Abdelaziz","Vitiello","Assistant Engineer","1998-12-27","9999-01-01"
104093,"Cristinel","Streng","Senior Staff","1986-10-27","9999-01-01"
104122,"Georg","Schreiter","Senior Engineer","1994-11-21","9999-01-01"
104143,"Gino","Morton","Senior Engineer","1995-05-14","9999-01-01"
104144,"Gilbert","Staelin","Engineer","1997-08-28","9999-01-01"
104160,"Kotesh","Kamber","Technique Leader","1993-04-14","9999-01-01"
104210,"Ziyad","Schaaf","Technique Leader","1985-10-17","9999-01-01"
104222,"Gretta","Wursthorn","Senior Engineer","1987-09-14","9999-01-01"
104363,"Mansur","Xiaoshan","Senior Staff","1988-11-22","9999-01-01"
104402,"Gonzalo","Molenaar","Staff","1995-06-15","9999-01-01"
104404,"Yoshinari","Usery","Senior Staff","2000-11-17","9999-01-01"
104462,"Tomofumi","Randt","Senior Staff","1994-11-19","9999-01-01"
104503,"Poornachandra","Kalefeld","Senior Engineer","1991-01-15","9999-01-01"
104504,"Waiman","Kilgore","Senior Engineer","1993-06-10","9999-01-01"
104508,"Wilmer","Thummel","Senior Engineer","1992-09-12","9999-01-01"
104517,"Kazuhide","Demri","Senior Staff","1992-06-19","9999-01-01"
104520,"Vishv","Neimat","Senior Staff","1995-10-06","9999-01-01"
104549,"Chaoyi","Sabnani","Assistant Engineer","1999-02-09","9999-01-01"
104557,"Turgut","Kushnir","Technique Leader","1990-03-30","9999-01-01"
104577,"Kellyn","Ibel","Senior Staff","1991-04-18","9999-01-01"
104593,"Arno","Maksimenko","Senior Engineer","1996-08-06","9999-01-01"
104626,"Patricio","Zaiane","Senior Staff","1992-10-12","9999-01-01"
104637,"Basant","dAstous","Senior Staff","1994-02-03","9999-01-01"
104644,"Yuguang","Lieblein","Senior Engineer","1993-08-21","9999-01-01"
104710,"Munenori","Trogemann","Senior Staff","1996-01-12","9999-01-01"
104748,"Xianlong","Bennet","Senior Staff","1992-01-18","9999-01-01"
104755,"Tetsurou","Zschoche","Senior Engineer","1992-08-21","9999-01-01"
104819,"Rildo","Granlund","Senior Staff","1990-12-22","9999-01-01"
104931,"Kristin","Delaune","Staff","1999-12-04","9999-01-01"
104939,"Armond","Masamoto","Senior Engineer","1994-11-05","9999-01-01"
105040,"Vojin","Erbe","Senior Engineer","1988-04-02","9999-01-01"
105085,"Mamdouh","Bach","Senior Staff","1991-04-18","9999-01-01"
105095,"Steen","Leppanen","Senior Engineer","1999-01-16","9999-01-01"
105100,"Boguslaw","Fabrizio","Engineer","1995-03-31","9999-01-01"
105226,"Murthy","Menyhert","Staff","1999-08-03","9999-01-01"
105239,"Bartek","Perl","Senior Staff","1999-05-11","9999-01-01"
105278,"Hisao","Gyimothy","Senior Staff","1996-03-13","9999-01-01"
105311,"Mohammad","Conry","Staff","1996-10-10","9999-01-01"
105313,"Richara","McFarlin","Senior Staff","1986-07-07","9999-01-01"
105391,"Vidya","Peac","Engineer","1998-11-11","9999-01-01"
105485,"Magy","Danner","Technique Leader","1985-03-21","9999-01-01"
105572,"Vivian","Haldar","Senior Staff","1997-05-11","9999-01-01"
105581,"Rasikan","Hanabata","Senior Engineer","1991-01-30","9999-01-01"
105587,"Kwun","Demri","Senior Engineer","1995-01-31","9999-01-01"
105593,"Kankanahalli","Liesche","Senior Staff","1994-10-27","9999-01-01"
105603,"Masoud","Sommer","Senior Staff","1992-01-16","9999-01-01"
105674,"Lalit","Kropatsch","Senior Engineer","1995-04-29","9999-01-01"
105781,"Billur","Rousseau","Senior Staff","1996-10-17","9999-01-01"
105789,"Qingxiang","Fordan","Senior Staff","1992-02-06","9999-01-01"
105800,"Golgen","Baig","Senior Staff","1997-05-10","9999-01-01"
105809,"Remko","Frolund","Senior Engineer","1986-07-12","9999-01-01"
105839,"Ziyad","Rosca","Senior Engineer","1997-09-24","9999-01-01"
105889,"Constantino","Blokdijk","Senior Staff","1998-06-24","9999-01-01"
105910,"Guozhong","Zaccaria","Engineer","2000-04-22","9999-01-01"
105921,"Willard","Gubsky","Senior Staff","1995-01-31","9999-01-01"
105926,"Shahid","Mansanne","Senior Staff","1994-09-12","9999-01-01"
105981,"Bedir","Tyugu","Senior Engineer","1993-06-16","9999-01-01"
105998,"Herb","Sanella","Senior Engineer","2000-12-03","9999-01-01"
106007,"Trygve","Ligten","Technique Leader","1985-03-13","9999-01-01"
106011,"Youpyo","Takanami","Senior Staff","1994-02-02","9999-01-01"
106040,"Atreye","Terekhov","Senior Staff","1993-04-14","9999-01-01"
106048,"Urs","Schlumberger","Senior Engineer","1991-10-13","9999-01-01"
106063,"Florian","Baaz","Senior Staff","1993-08-28","9999-01-01"
106107,"Hidde","Undy","Senior Engineer","1990-11-13","9999-01-01"
106161,"Rafael","Baba","Senior Engineer","1987-05-23","9999-01-01"
106186,"Gonzalo","Sewelson","Senior Staff","1995-09-07","9999-01-01"
106197,"Geraldo","Ciolek","Engineer","1998-12-14","9999-01-01"
106206,"Behnaam","Schlenzig","Senior Engineer","2001-10-01","9999-01-01"
106222,"Shim","Uludag","Senior Engineer","1992-04-09","9999-01-01"
106319,"Jayson","Azulay","Senior Staff","1992-02-15","9999-01-01"
106331,"Fumiko","Lorch","Senior Engineer","1997-10-17","9999-01-01"
106346,"Perry","Cronan","Engineer","1998-09-03","9999-01-01"
106417,"Kwun","Clouatre","Senior Staff","2002-07-06","9999-01-01"
106425,"Beshir","Rohrbach","Senior Engineer","1996-08-07","9999-01-01"
106447,"Tadanori","Herber","Senior Staff","1994-05-06","9999-01-01"
106482,"Alselm","Selenyi","Senior Staff","1995-06-25","9999-01-01"
106531,"Shuky","Eiron","Senior Engineer","1992-10-14","9999-01-01"
106555,"Rosalyn","Gaughan","Engineer","1996-07-07","9999-01-01"
106560,"Tsuneo","Baar","Technique Leader","1988-10-27","9999-01-01"
106587,"Heekeun","Ranka","Engineer","1997-04-20","9999-01-01"
106633,"Jinxi","Kugler","Senior Engineer","1993-10-28","9999-01-01"
106634,"Ingmar","Rettelbach","Senior Staff","1999-08-06","9999-01-01"
106703,"Gennady","Kuzuoka","Senior Engineer","1994-02-17","9999-01-01"
106756,"Arup","Suessmith","Staff","1998-10-16","9999-01-01"
106797,"Aran","Raoux","Senior Engineer","1992-11-25","9999-01-01"
106819,"Takahira","Coombs","Senior Staff","1997-08-20","9999-01-01"
106914,"Ayakannu","Zuberek","Senior Staff","1994-01-20","9999-01-01"
106946,"Oksana","Luiz","Senior Staff","1991-12-07","9999-01-01"
106985,"Adhemar","Pfau","Senior Engineer","1995-04-18","9999-01-01"
106994,"Becky","Penttonen","Senior Engineer","1995-07-16","9999-01-01"
107101,"Moni","Crabtree","Senior Engineer","2002-04-24","9999-01-01"
107173,"Kellie","Luga","Senior Engineer","1990-10-30","9999-01-01"
107276,"Maja","Badache","Senior Engineer","2001-11-30","9999-01-01"
107341,"Felicidad","Garnick","Senior Staff","1995-05-17","9999-01-01"
107392,"Chinho","Panangaden","Senior Engineer","1993-06-11","9999-01-01"
107440,"Shimshon","Dulli","Senior Engineer","1986-11-01","9999-01-01"
107452,"Shridhar","Bharadwaj","Senior Staff","1986-12-24","9999-01-01"
107458,"Zengping","Taneja","Senior Engineer","1995-06-26","9999-01-01"
107504,"Shao","Hoppenstand","Senior Engineer","1993-06-22","9999-01-01"
107570,"Zine","Lueh","Senior Staff","1993-03-21","9999-01-01"
107623,"Yagil","Kilgour","Senior Engineer","1995-05-26","9999-01-01"
107684,"Uma","Chandrasekhar","Senior Staff","1992-11-05","9999-01-01"
107695,"Babette","Cmelik","Senior Engineer","1997-02-11","9999-01-01"
107718,"Ibibia","Dehkordi","Engineer","1999-10-09","9999-01-01"
107732,"Nigel","Encarnacion","Senior Engineer","1994-02-08","9999-01-01"
107782,"Gadiel","Rajala","Senior Staff","1996-08-20","9999-01-01"
107809,"Mihalis","Facello","Senior Staff","1990-02-03","9999-01-01"
107810,"Richara","Trogemann","Senior Engineer","1995-04-14","9999-01-01"
107901,"Munir","Honiden","Senior Staff","1995-11-25","9999-01-01"
107982,"Tsuneo","Underwood","Senior Staff","1996-11-03","9999-01-01"
108048,"Zhenhua","Dredge","Staff","1999-03-07","9999-01-01"
108078,"Horward","Demian","Engineer","1997-05-31","9999-01-01"
108096,"Arun","Bazzichi","Senior Engineer","1991-05-25","9999-01-01"
108114,"Leon","Kobara","Senior Engineer","1992-08-27","9999-01-01"
108126,"Izaskun","Shackell","Senior Engineer","1993-12-18","9999-01-01"
108150,"Shrikanth","Peternell","Senior Engineer","1996-04-17","9999-01-01"
108153,"Lene","Puppo","Senior Staff","1987-04-01","9999-01-01"
108176,"Aksel","Piazza","Senior Engineer","1993-12-02","9999-01-01"
108179,"Constantijn","Crelier","Senior Engineer","2002-06-05","9999-01-01"
108223,"Henk","Cangellaris","Technique Leader","1988-10-31","9999-01-01"
108251,"Adhemar","Muhling","Engineer","1998-05-27","9999-01-01"
108433,"Henk","Schaad","Senior Engineer","1999-12-23","9999-01-01"
108474,"Stella","Schaft","Senior Engineer","1995-02-21","9999-01-01"
108536,"Fumino","Baba","Senior Staff","1992-12-22","9999-01-01"
108588,"Shahaf","Coney","Senior Engineer","1992-10-28","9999-01-01"
108641,"Atreye","Schueller","Senior Engineer","1986-02-13","9999-01-01"
108676,"Alassane","Angot","Senior Staff","1998-09-20","9999-01-01"
108700,"Sarita","Stanfel","Senior Staff","1985-10-12","9999-01-01"
108761,"Nahid","Mandell","Technique Leader","1985-03-15","9999-01-01"
108770,"Ugo","Onuegbe","Senior Engineer","1993-10-15","9999-01-01"
108828,"Arup","Denti","Senior Engineer","1991-10-17","9999-01-01"
108940,"Barna","Baumann","Senior Engineer","2001-08-07","9999-01-01"
108963,"Sanjiv","Barvinok","Senior Engineer","1992-05-23","9999-01-01"
108977,"Otilia","Rettelbach","Technique Leader","1994-12-29","9999-01-01"
108994,"Shahar","Bashian","Technique Leader","1985-05-08","9999-01-01"
109052,"Xianlong","McFarlin","Senior Engineer","1988-07-06","9999-01-01"
109097,"Maya","Jeong","Senior Staff","2001-02-05","9999-01-01"
109167,"Uli","Harllee","Senior Staff","2002-07-27","9999-01-01"
109267,"Ziyad","Bardell","Technique Leader","1988-07-17","9999-01-01"
109323,"Shuho","Gomatam","Senior Engineer","1993-07-19","9999-01-01"
109334,"Tsutomu","Alameldin","Senior Staff","1993-02-15","9999-01-01"
109506,"Divine","Kermarrec","Senior Staff","1995-12-13","9999-01-01"
109561,"Radhika","Makinen","Senior Engineer","1993-09-17","9999-01-01"
109565,"Halsur","Kavvadias","Senior Engineer","2000-12-09","9999-01-01"
109623,"Parviz","Aingworth","Staff","1999-08-18","9999-01-01"
109675,"Peer","McConalogue","Senior Staff","1993-05-07","9999-01-01"
109681,"Marsal","Ramaiah","Senior Engineer","2000-01-06","9999-01-01"
109687,"Khedija","Gecseg","Staff","1999-07-22","9999-01-01"
109729,"Sorina","DiGiano","Senior Engineer","1993-10-27","9999-01-01"
109793,"Zhanqiu","Oppitz","Senior Engineer","1991-05-29","9999-01-01"
109795,"Francoise","Fujisaki","Senior Staff","1993-11-20","9999-01-01"
109809,"Kazuhide","Cherinka","Senior Engineer","2002-07-04","9999-01-01"
109811,"Eric","Wendorf","Senior Engineer","1996-05-13","9999-01-01"
109885,"Mooi","Sessa","Senior Staff","1986-01-05","9999-01-01"
109898,"Armond","Cardazo","Senior Engineer","1997-09-02","9999-01-01"
109951,"Nahla","Pell","Senior Engineer","1990-04-15","9999-01-01"
109997,"Miquel","Borovoy","Senior Engineer","1993-12-28","9999-01-01"
111133,"Hauke","Zhang","Manager","1991-03-07","9999-01-01"
200030,"LiMin","Schonegge","Senior Engineer","1985-02-05","9999-01-01"
200048,"Ronghao","Remmele","Senior Engineer","1992-04-23","9999-01-01"
200054,"Rildo","Cronan","Senior Engineer","1995-09-17","9999-01-01"
200089,"Sampalli","Kuhnemann","Senior Staff","1994-02-08","9999-01-01"
200185,"Fay","Standera","Senior Staff","1988-08-02","9999-01-01"
200256,"Greger","Hockney","Senior Staff","1988-09-01","9999-01-01"
200332,"Feipei","Goldhammer","Engineer","1998-06-10","9999-01-01"
200334,"Basem","Bojadziev","Senior Engineer","1986-06-21","9999-01-01"
200348,"Abdulla","Back","Senior Engineer","1991-05-13","9999-01-01"
200380,"Foong","Kriebel","Senior Engineer","2000-10-05","9999-01-01"
200382,"Mansur","Pauthner","Senior Staff","1993-09-21","9999-01-01"
200400,"Goo","Negoita","Senior Staff","1999-10-22","9999-01-01"
200433,"Gilbert","Bolotov","Senior Staff","2000-11-07","9999-01-01"
200486,"Vidar","Junet","Senior Staff","2000-02-01","9999-01-01"
200499,"Rafail","Bultermann","Senior Staff","1986-08-23","9999-01-01"
200511,"Duke","Gilg","Staff","1999-02-20","9999-01-01"
200512,"Christophe","Engberts","Senior Staff","1997-01-23","9999-01-01"
200575,"Izaskun","Kuzuoka","Senior Staff","1994-09-05","9999-01-01"
200601,"Susuma","Lindqvist","Senior Staff","1993-03-18","9999-01-01"
200612,"Dannz","Veevers","Senior Staff","1990-12-31","9999-01-01"
200702,"Mary","Eldridge","Senior Engineer","1998-06-29","9999-01-01"
200714,"JoAnne","Sudbeck","Senior Staff","1990-06-29","9999-01-01"
200749,"Terresa","Haraldson","Senior Engineer","1998-05-03","9999-01-01"
200750,"Jeane","Kusakabe","Senior Staff","1994-07-16","9999-01-01"
200776,"Sigeru","Merlo","Senior Staff","1997-02-16","9999-01-01"
200785,"Aemilian","Schlenzig","Staff","1997-10-25","9999-01-01"
200801,"Tomokazu","Chorvat","Senior Staff","1993-06-27","9999-01-01"
200880,"Francesca","Matheson","Senior Staff","1990-09-16","9999-01-01"
200906,"Pradeep","Kusakari","Senior Engineer","1993-02-01","9999-01-01"
200956,"Alassane","Kadhim","Senior Staff","1994-01-29","9999-01-01"
200959,"Dhritiman","Speek","Senior Engineer","1995-11-27","9999-01-01"
200984,"Niranjan","Picht","Senior Staff","1991-06-19","9999-01-01"
201089,"Felicidad","Luon","Senior Engineer","1992-05-01","9999-01-01"
201098,"Laurentiu","Kushner","Engineer","1995-03-08","9999-01-01"
201126,"Jaewoo","Kitsuregawa","Senior Engineer","1994-10-20","9999-01-01"
201132,"Tadahiko","Showalter","Senior Staff","1991-02-24","9999-01-01"
201150,"Chaosheng","Miculan","Assistant Engineer","1993-11-20","9999-01-01"
201190,"Zdislav","Melski","Technique Leader","1988-11-17","9999-01-01"
201266,"Uma","Rissanen","Senior Staff","1993-02-13","9999-01-01"
201327,"Demos","Pluym","Senior Staff","1995-07-05","9999-01-01"
201333,"Mircea","Perl","Senior Engineer","1985-02-08","9999-01-01"
201342,"Ramachenga","Maierhofer","Senior Engineer","1985-12-17","9999-01-01"
201348,"Renee","Esposito","Senior Engineer","1996-10-16","9999-01-01"
201462,"Jolita","Erva","Senior Staff","1996-03-02","9999-01-01"
201517,"Yoshinari","Jayawardene","Senior Staff","1990-12-06","9999-01-01"
201524,"Felicidad","Flasterstein","Senior Engineer","1995-10-26","9999-01-01"
201536,"Shalesh","Birke","Senior Engineer","1998-12-27","9999-01-01"
201583,"Boutros","Woycyznski","Senior Staff","1995-12-30","9999-01-01"
201621,"Kagan","Plump","Senior Staff","1994-02-09","9999-01-01"
